0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:12 +0700] "GET /DiamonShop/dang-ky HTTP/1.1" 200 12247
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:12 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:16 +0700] "POST /DiamonShop/dang-nhap HTTP/1.1" 500 4329
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:16 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:53 +0700] "POST /DiamonShop/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:53 +0700] "GET /DiamonShop/trang-chu HTTP/1.1" 200 25266
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:53 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:56 +0700] "GET /DiamonShop/lich-su/1@aa HTTP/1.1" 200 9180
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:56 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:59 +0700] "GET /DiamonShop/trang-chu HTTP/1.1" 200 25191
0:0:0:0:0:0:0:1 - - [26/May/2022:19:57:59 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:19:58:01 +0700] "GET /DiamonShop/AddCart/10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:58:01 +0700] "GET /DiamonShop/trang-chu HTTP/1.1" 200 25137
0:0:0:0:0:0:0:1 - - [26/May/2022:19:58:01 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:19:58:04 +0700] "GET /DiamonShop/gio-hang HTTP/1.1" 200 10082
0:0:0:0:0:0:0:1 - - [26/May/2022:19:58:04 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:19:58:05 +0700] "GET /DiamonShop/checkout HTTP/1.1" 200 10770
0:0:0:0:0:0:0:1 - - [26/May/2022:19:58:05 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:19:58:15 +0700] "POST /DiamonShop/checkout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2022:19:58:15 +0700] "GET /DiamonShop/gio-hang HTTP/1.1" 200 10082
0:0:0:0:0:0:0:1 - - [26/May/2022:19:58:15 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:19:58:16 +0700] "GET /DiamonShop/lich-su/1@aa HTTP/1.1" 200 9564
0:0:0:0:0:0:0:1 - - [26/May/2022:19:58:16 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:19:58:38 +0700] "GET /DiamonShop/ HTTP/1.1" 200 25927
0:0:0:0:0:0:0:1 - - [26/May/2022:20:00:08 +0700] "GET /DiamonShop/ HTTP/1.1" 200 25090
0:0:0:0:0:0:0:1 - - [26/May/2022:20:00:08 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:20:00:10 +0700] "GET /DiamonShop/dang-xuat HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2022:20:00:10 +0700] "GET /DiamonShop/ HTTP/1.1" 200 25857
0:0:0:0:0:0:0:1 - - [26/May/2022:20:00:10 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:20:00:11 +0700] "GET /DiamonShop/check HTTP/1.1" 200 10047
0:0:0:0:0:0:0:1 - - [26/May/2022:20:00:11 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:20:00:11 +0700] "GET /DiamonShop/images/resources/coming-soon-bg.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:20:00:12 +0700] "GET /DiamonShop/dang-ky HTTP/1.1" 200 12267
0:0:0:0:0:0:0:1 - - [26/May/2022:20:00:18 +0700] "POST /DiamonShop/dang-nhap HTTP/1.1" 200 12293
0:0:0:0:0:0:0:1 - - [26/May/2022:20:21:28 +0700] "GET /DiamonShop/trang-chu HTTP/1.1" 200 25600
0:0:0:0:0:0:0:1 - - [26/May/2022:20:21:28 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:20:21:48 +0700] "GET /DiamonShop/sanpham HTTP/1.1" 200 15564
0:0:0:0:0:0:0:1 - - [26/May/2022:20:21:48 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:20:21:49 +0700] "GET /DiamonShop/trang-chu HTTP/1.1" 200 25671
0:0:0:0:0:0:0:1 - - [26/May/2022:20:21:49 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:20:21:52 +0700] "GET /DiamonShop/AddCart/23 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2022:20:21:52 +0700] "GET /DiamonShop/trang-chu HTTP/1.1" 200 25709
0:0:0:0:0:0:0:1 - - [26/May/2022:20:21:52 +0700] "GET /DiamonShop/assets/user/assets/img/white_leather.png HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:20:21:54 +0700] "GET /DiamonShop/check HTTP/1.1" 200 10047
0:0:0:0:0:0:0:1 - - [26/May/2022:20:21:54 +0700] "GET /DiamonShop/images/resources/coming-soon-bg.jpg HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [26/May/2022:20:21:56 +0700] "GET /DiamonShop/dang-ky HTTP/1.1" 200 12293
0:0:0:0:0:0:0:1 - - [26/May/2022:20:22:05 +0700] "GET /DiamonShop/trang-chu HTTP/1.1" 200 25510
